CountryTerritoryArea,BCIs per million population,Absolute BCIs,BCIs with AST per million population,Absolute BCIs with AST,% BCIs with AST,Year,Infectious Syndrome,Bacterial Pathogen,Antibiotic Group,code,region,income,che_gdp,gghed_gdp,gghed_gge
Switzerland,11.5,100,11.4,99,99.0,2021,Bloodstream,Acinetobacter spp.,Carbapenems,CHE,EUR,High,11.801079750000001,4.27358341,11.719085690000002
Syrian Arab Republic,0.1,3,0.1,3,100.0,2021,Bloodstream,Acinetobacter spp.,Carbapenems,SYR,EMR,Low,,,
Thailand,14.8,1062,13.4,959,90.3,2021,Bloodstream,Acinetobacter spp.,Carbapenems,THA,SEAR,Upper-middle,5.1603875200000004,3.6309559300000003,13.46591473
Timor-Leste,18.5,25,15.6,21,84.0,2021,Bloodstream,Acinetobacter spp.,Carbapenems,TLS,SEAR,Lower-middle,11.43839264,7.256893159999997,6.970731259999999
Tunisia,12.3,148,11.5,138,93.2,2021,Bloodstream,Acinetobacter spp.,Carbapenems,TUN,EMR,Lower-middle,6.972739220000001,4.12733793,12.39702702
T<U+00FC>rkiye,40.6,3516,37.8,3279,93.3,2021,Bloodstream,Acinetobacter spp.,Carbapenems,,,,,,
Uganda,0.0,1,0.0,1,100.0,2021,Bloodstream,Acinetobacter spp.,Carbapenems,UGA,AFR,Low,4.671967029999999,1.05270064,4.88157225
Ukraine,3.1,139,3.1,139,100.0,2021,Bloodstream,Acinetobacter spp.,Carbapenems,UKR,EUR,Lower-middle,8.01,4.09,10.15
United Arab Emirates,24.2,237,22.6,221,93.2,2021,Bloodstream,Acinetobacter spp.,Carbapenems,ARE,EMR,High,5.30695152,3.402116779999999,12.8867445
United Kingdom of Great Britain and Northern Ireland,13.2,895,12.8,865,96.6,2021,Bloodstream,Acinetobacter spp.,Carbapenems,GBR,EUR,High,12.36469936,10.34801674,22.364862440000003
United Republic of Tanzania,1.4,87,1.0,65,74.7,2021,Bloodstream,Acinetobacter spp.,Carbapenems,TZA,AFR,Lower-middle,3.3613648400000002,0.9136287599999999,5.135169979999999
Zambia,1.8,36,1.3,26,72.2,2021,Bloodstream,Acinetobacter spp.,Carbapenems,ZMB,AFR,Low,6.624164579999999,2.8165416700000003,9.254849429999998
Argentina,8.6,385,8.0,358,93.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,ARG,AMR,Upper-middle,10.04194355,6.082253929999999,16.132158280000006
Austria,53.8,478,52.0,462,96.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,AUT,EUR,High,10.49,7.85,16.13
Bahrain,16.8,25,10.8,16,64.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,BHR,EMR,High,3.9598033399999997,2.30751538,7.06051159
Bhutan,3.9,3,3.9,3,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,BTN,SEAR,Lower-middle,3.60361075,2.65109873,10.23985958
Bosnia and Herzegovina,13.2,44,13.2,44,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,BIH,EUR,Upper-middle,8.93,6.13,15.37
Brazil,0.0,6,0.0,6,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,BRA,AMR,Upper-middle,9.61449146,3.917018889999999,9.235238079999998
Croatia,38.4,153,38.4,153,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,HRV,EUR,High,6.8,5.55,11.98
Cyprus,6.2,8,1.6,2,25.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,CYP,EUR,High,7.07,3.83,10.04
Czechia,36.7,387,36.7,387,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,CZE,EUR,High,7.603360179999998,6.43771982,15.681138990000003
Finland,113.7,628,113.7,628,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,FIN,EUR,High,9.17,7.35,13.79
France,18.6,1264,18.6,1264,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,FRA,EUR,High,11.088858599999998,8.334307670000001,15.056919099999998
Georgia,2.1,8,1.3,5,62.5,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,GEO,EUR,Upper-middle,6.66,2.72,9.39
Germany,23.7,1981,23.5,1962,99.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,DEU,EUR,High,11.71550655,9.04012394,20.093276980000002
Indonesia,0.1,15,0.0,10,66.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,IDN,SEAR,Lower-middle,2.8786289700000003,1.39791656,8.557231900000001
Iran (Islamic Republic of),0.4,39,0.2,17,43.6,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,IRN,EMR,Lower-middle,6.273988720000001,2.7899677800000005,19.73072052
Ireland,70.5,348,70.5,348,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,IRL,EUR,High,6.709010599999999,4.981359,20.53943443
Italy,19.4,1166,16.8,1011,86.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,ITA,EUR,High,8.66,6.38,13.17
Japan,25.6,3241,25.6,3239,99.9,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,JPN,WPR,High,10.97,9.21,24.7
Jordan,1.2,13,0.7,7,53.8,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,JOR,EMR,Upper-middle,6.995182509999998,3.00427818,10.1121769
Kosovo,1.7,3,1.7,3,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,,,,,,
Lao People's Democratic Republic,1.2,9,1.2,9,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LAO,WPR,Lower-middle,2.6031222300000003,0.9614232800000002,5.12380648
Latvia,58.5,112,56.4,108,96.4,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LVA,EUR,High,6.61,3.96,10.35
Lebanon,0.9,5,0.7,4,80.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LBN,EMR,Lower-middle,8.6936779,4.285372259999999,13.746777530000003
Lithuania,42.9,120,42.9,120,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LTU,EUR,High,6.99,4.55,13.1
Luxembourg,61.3,38,61.3,38,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LUX,EUR,High,5.47,4.7,10.89
Madagascar,0.1,4,0.1,4,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MDG,AFR,Low,3.1012930900000004,0.6826895500000001,4.44415092
Malawi,4.7,89,4.7,89,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MWI,AFR,Low,7.15010023,1.67412877,8.66773891
Malaysia,20.9,699,15.5,518,74.1,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MYS,WPR,Upper-middle,3.83991051,2.00959897,8.523682590000002
Mali,1.9,40,1.9,40,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MLI,AFR,Low,3.82943797,1.1192745,4.835014339999999
Malta,53.6,27,53.6,27,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MLT,EUR,High,9.15,5.72,15.91
Nepal,1.2,34,1.1,30,88.2,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,NPL,SEAR,Lower-middle,4.45,1.1,4.03
Netherlands (Kingdom of the),71.6,1256,71.6,1256,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,NLD,EUR,High,10.14,6.69,15.89
North Macedonia,7.4,14,7.4,14,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,MKD,EUR,Upper-middle,7.07,4.26,13.56
Norway,94.2,504,94.2,504,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,NOR,EUR,High,10.44,8.95,17.52
Pakistan,0.2,41,0.1,16,39.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,PAK,EMR,Lower-middle,2.8473694299999996,0.9430124800000002,4.94922209
Philippines,1.5,166,1.2,130,78.3,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,PHL,WPR,Lower-middle,4.17,1.69,7.8
Poland,6.6,254,6.4,245,96.5,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,POL,EUR,High,6.46,4.61,11.01
Republic of Korea,0.7,36,0.7,36,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,KOR,WPR,High,8.17479515,4.73187208,13.970218659999997
Russian Federation,0.2,23,0.2,22,95.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,RUS,EUR,Upper-middle,5.65,3.45,10.2
Saudi Arabia,2.0,60,0.6,19,31.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,SAU,EMR,High,5.467426779999999,4.03419256,11.97922897
Singapore,2.3,13,2.3,13,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,SGP,WPR,High,4.39938164,2.2749128300000003,16.248302459999998
South Africa,11.0,653,7.2,428,65.5,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,ZAF,AFR,Upper-middle,8.244189259999999,4.80993271,15.28983974
Sri Lanka,1.2,28,0.2,4,14.3,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,LKA,SEAR,Lower-middle,3.9,1.85,9.49
Sweden,104.0,1069,104.0,1069,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,SWE,EUR,High,10.83,9.22,18.77
Switzerland,84.4,724,76.6,657,90.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,CHE,EUR,High,11.063636779999998,3.72409916,11.19768238
Thailand,2.5,180,2.2,158,87.8,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,THA,SEAR,Upper-middle,3.7891187700000004,2.71524906,12.507557870000001
Tunisia,0.8,10,0.3,3,30.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,TUN,EMR,Lower-middle,6.0246124299999995,3.5671336699999996,12.078944209999998
Uganda,0.1,3,0.0,2,66.7,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,UGA,AFR,Low,3.79834843,0.5741867399999999,3.1388299500000008
United Arab Emirates,16.8,158,10.5,98,62.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,ARE,EMR,High,4.386189459999999,2.2531426000000003,7.9199399900000005
United Kingdom of Great Britain and Northern Ireland,53.0,3556,53.0,3556,100.0,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,GBR,EUR,High,9.95761967,7.9679575,19.52971458
"occupied Palestinian territory, including east Jerusalem",9.1,45,7.5,37,82.2,2019,Bloodstream,Streptococcus pneumoniae,Penicillins,,,,,,
Argentina,94.8,4263,92.1,4143,97.2,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,ARG,AMR,Upper-middle,10.04194355,6.082253929999999,16.132158280000006
Bahrain,724.3,1076,223.5,332,30.9,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,BHR,EMR,High,3.9598033399999997,2.30751538,7.06051159
Bangladesh,0.6,94,0.5,88,93.6,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,BGD,SEAR,Lower-middle,2.2576224799999998,0.4467977899999999,3.29686975
Brazil,4.1,860,4.1,860,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,BRA,AMR,Upper-middle,9.61449146,3.917018889999999,9.235238079999998
Egypt,0.4,46,0.3,30,65.2,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,EGY,EMR,Lower-middle,4.5994668,1.29722774,4.822846889999999
Ethiopia,1.0,117,0.9,106,90.6,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,ETH,AFR,Low,3.2338237800000003,0.73088509,4.76060486
Finland,2894.5,15983,2009.9,11098,69.4,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,FIN,EUR,High,9.17,7.35,13.79
Germany,707.7,59131,706.3,59020,99.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,DEU,EUR,High,11.71550655,9.04012394,20.093276980000002
Greece,547.5,5868,506.6,5430,92.5,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,GRC,EUR,High,8.198112490000002,3.99746466,8.30376339
India,7.1,9918,5.9,8135,82.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,IND,SEAR,Lower-middle,2.95,1.04,3.85
Indonesia,3.5,962,3.4,916,95.2,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,IDN,SEAR,Lower-middle,2.8786289700000003,1.39791656,8.557231900000001
Iran (Islamic Republic of),19.1,1665,15.2,1319,79.2,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,IRN,EMR,Lower-middle,6.273988720000001,2.7899677800000005,19.73072052
Iraq,2.4,97,2.2,92,94.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,IRQ,EMR,Upper-middle,4.255094049999999,2.10075927,5.994596
Japan,616.2,78067,608.3,77075,98.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,JPN,WPR,High,10.97,9.21,24.7
Jordan,80.1,855,70.8,756,88.4,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,JOR,EMR,Upper-middle,6.995182509999998,3.00427818,10.1121769
Lao People's Democratic Republic,2.6,19,2.5,18,94.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LAO,WPR,Lower-middle,2.6031222300000003,0.9614232800000002,5.12380648
Latvia,132.7,254,132.7,254,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LVA,EUR,High,6.61,3.96,10.35
Lebanon,44.0,255,43.8,254,99.6,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LBN,EMR,Lower-middle,8.6936779,4.285372259999999,13.746777530000003
Libya,9.6,67,8.8,61,91.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LBY,EMR,Upper-middle,,,
Lithuania,60.8,170,60.8,170,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LTU,EUR,High,6.99,4.55,13.1
Madagascar,15.1,427,13.0,367,85.9,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MDG,AFR,Low,3.1012930900000004,0.6826895500000001,4.44415092
Malawi,25.3,482,25.3,482,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MWI,AFR,Low,7.15010023,1.67412877,8.66773891
Malaysia,162.4,5432,146.5,4898,90.2,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MYS,WPR,Upper-middle,3.83991051,2.00959897,8.523682590000002
Mali,0.2,5,0.2,5,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MLI,AFR,Low,3.82943797,1.1192745,4.835014339999999
Malta,1888.8,952,1859.1,937,98.4,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MLT,EUR,High,9.15,5.72,15.91
Myanmar,6.7,352,5.4,284,80.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,MMR,SEAR,Lower-middle,4.71,0.66,3.28
Nepal,44.3,1260,37.6,1068,84.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,NPL,SEAR,Lower-middle,4.45,1.1,4.03
Norway,128.3,686,128.3,686,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,NOR,EUR,High,10.44,8.95,17.52
Oman,392.9,1804,392.3,1801,99.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,OMN,EMR,High,3.80648994,3.3325254899999996,8.593752859999999
Pakistan,10.2,2352,8.8,2026,86.1,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,PAK,EMR,Lower-middle,2.8473694299999996,0.9430124800000002,4.94922209
Philippines,23.6,2614,21.9,2424,92.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,PHL,WPR,Lower-middle,4.17,1.69,7.8
Republic of Korea,25.0,1295,25.0,1295,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,KOR,WPR,High,8.17479515,4.73187208,13.970218659999997
Saudi Arabia,55.4,1687,51.7,1574,93.3,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,SAU,EMR,High,5.467426779999999,4.03419256,11.97922897
Singapore,212.4,1204,211.5,1199,99.6,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,SGP,WPR,High,4.39938164,2.2749128300000003,16.248302459999998
Sri Lanka,32.3,724,16.5,369,51.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,LKA,SEAR,Lower-middle,3.9,1.85,9.49
Sudan,0.4,18,0.2,9,50.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,SDN,EMR,Low,4.574226380000001,1.03844607,5.56284285
Sweden,2112.5,21715,2051.6,21089,97.1,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,SWE,EUR,High,10.83,9.22,18.77
Switzerland,2192.7,18808,2076.1,17808,94.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,CHE,EUR,High,11.063636779999998,3.72409916,11.19768238
Syrian Arab Republic,0.2,4,0.0,1,25.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,SYR,EMR,Low,,,
Thailand,29.4,2104,18.1,1298,61.7,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,THA,SEAR,Upper-middle,3.7891187700000004,2.71524906,12.507557870000001
Tunisia,80.8,959,57.0,677,70.6,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,TUN,EMR,Lower-middle,6.0246124299999995,3.5671336699999996,12.078944209999998
Uganda,0.8,35,0.8,35,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,UGA,AFR,Low,3.79834843,0.5741867399999999,3.1388299500000008
United Arab Emirates,665.2,6238,610.7,5727,91.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,ARE,EMR,High,4.386189459999999,2.2531426000000003,7.9199399900000005
United Kingdom of Great Britain and Northern Ireland,860.8,57770,860.8,57770,100.0,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,GBR,EUR,High,9.95761967,7.9679575,19.52971458
Zambia,8.3,153,1.7,31,20.3,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,ZMB,AFR,Low,6.753324990000001,2.25831556,7.573063850000001
"occupied Palestinian territory, including east Jerusalem",191.6,950,166.4,825,86.8,2019,Urinary tract,Klebsiella pneumoniae,Fluoroquinolones,,,,,,
Argentina,766.2,34791,466.6,21186,60.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Australia,4330.5,113464,3631.7,95153,83.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Bahrain,2047.0,3139,1972.7,3025,96.4,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Bangladesh,1.8,298,1.7,295,99.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Brazil,12.9,2723,12.9,2723,100.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Burkina Faso,83.3,1875,76.2,1715,91.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Cameroon,17.0,470,16.6,458,97.4,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Canada,640.7,24873,604.3,23460,94.3,2022,Urinary tract,Escherichia coli,3GCs,CAN,AMR,High,11.15471363,7.95449591,19.17858315
"China, Hong Kong SAR",3674.7,27435,2108.1,15739,57.4,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Colombia,3858.2,199614,3702.9,191578,96.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Egypt,3.7,416,2.6,288,69.2,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Eswatini,237.1,289,73.8,90,31.1,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Ethiopia,8.1,1018,3.5,440,43.2,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Finland,18376.6,102345,6779.5,37757,36.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Germany,6186.9,520230,5611.5,471852,90.7,2022,Urinary tract,Escherichia coli,3GCs,DEU,EUR,High,12.654710770000001,,
India,53.3,75975,32.5,46373,61.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Indonesia,17.8,4956,16.9,4712,95.1,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Iran (Islamic Republic of),52.1,4664,43.2,3864,82.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Iraq,116.2,5121,65.2,2873,56.1,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Japan,3504.7,438083,3406.4,425786,97.2,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Jordan,1352.9,15229,858.7,9666,63.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Kenya,4.6,247,2.5,135,54.7,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Kuwait,1896.7,8705,1258.1,5774,66.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Lao People's Democratic Republic,49.9,377,49.7,376,99.7,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Latvia,818.2,1539,816.6,1536,99.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Lebanon,595.2,3419,552.9,3176,92.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Liberia,4.1,22,2.2,12,54.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Lithuania,150.5,424,11.0,31,7.3,2022,Urinary tract,Escherichia coli,3GCs,LTU,EUR,High,7.46,,
Mali,17.6,407,12.0,278,68.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Malta,7203.8,3805,7192.5,3799,99.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Mauritius,2187.9,2792,2187.1,2791,100.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Morocco,83.4,3114,70.5,2630,84.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Myanmar,5.6,301,5.5,293,97.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Namibia,181.0,523,177.5,513,98.1,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Nepal,366.2,10881,225.0,6687,61.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Norway,239.7,1308,239.7,1308,100.0,2022,Urinary tract,Escherichia coli,3GCs,NOR,EUR,High,8.14,6.98,17.82
Oman,1578.1,7465,785.0,3713,49.7,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Pakistan,268.5,65438,260.2,63413,96.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Papua New Guinea,0.3,3,0.3,3,100.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Peru,218.0,7299,157.2,5263,72.1,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Philippines,50.9,5796,49.4,5629,97.1,2022,Urinary tract,Escherichia coli,3GCs,PHL,WPR,Lower-middle,5.1,2.13,7.96
Qatar,2455.7,7103,2377.6,6877,96.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Republic of Korea,163.5,8465,163.5,8465,100.0,2022,Urinary tract,Escherichia coli,3GCs,KOR,WPR,High,9.72047997,5.97277308,14.410534860000002
Republic of Moldova,468.8,1425,467.8,1422,99.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Saudi Arabia,147.9,4760,146.9,4725,99.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Singapore,592.4,3347,591.7,3343,99.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
South Africa,601.4,37516,589.3,36761,98.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Sri Lanka,100.7,2300,58.2,1330,57.8,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Sweden,21317.3,223562,5040.7,52864,23.6,2022,Urinary tract,Escherichia coli,3GCs,SWE,EUR,High,10.67,,
Syrian Arab Republic,30.6,687,21.8,490,71.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Thailand,66.5,4767,45.5,3263,68.4,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Timor-Leste,65.0,89,54.8,75,84.3,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Togo,6.1,55,0.2,2,3.6,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Trinidad and Tobago,336.9,504,328.9,492,97.6,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Tunisia,344.9,4180,270.5,3278,78.4,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Uganda,2.1,101,1.1,54,53.5,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
United Arab Emirates,4295.1,43991,3687.4,37767,85.9,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
United Kingdom of Great Britain and Northern Ireland,12928.4,881447,4545.9,309934,35.2,2022,Urinary tract,Escherichia coli,3GCs,GBR,EUR,High,11.344549179999998,,
United Republic of Tanzania,22.7,1472,22.3,1443,98.0,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Yemen,47.2,1803,27.0,1032,57.2,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Zambia,56.0,1128,36.2,730,64.7,2022,Urinary tract,Escherichia coli,3GCs,,,,,,
Argentina,53.5,2423,52.9,2395,98.8,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,ARG,AMR,Upper-middle,9.708806990000001,6.1366396,16.220844269999997
Australia,48.0,1247,47.7,1239,99.4,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,AUS,WPR,High,10.543639180000003,8.01731968,19.3241291
Austria,139.5,1251,136.9,1228,98.2,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,AUT,EUR,High,12.1,9.47,16.89
Bahrain,147.2,221,144.5,217,98.2,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BHR,EMR,High,4.268340589999999,2.813930750000001,8.685101509999999
Bangladesh,0.1,9,0.0,5,55.6,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BGD,SEAR,Lower-middle,2.36492991,0.39927667,3.07911539
Belgium,80.0,926,80.0,926,100.0,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BEL,EUR,High,11.04290771,8.56881809,15.46376991
Bosnia and Herzegovina,86.3,280,86.3,280,100.0,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BIH,EUR,Upper-middle,9.56,6.53,16.42
Brazil,1.4,291,1.4,290,99.7,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BRA,AMR,Upper-middle,9.89072323,4.504478929999999,10.94026566
Brunei Darussalam,274.5,124,252.4,114,91.9,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BRN,WPR,High,2.20486665,2.05610466,7.05689287
Burkina Faso,2.2,48,2.2,48,100.0,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,BFA,AFR,Low,6.376911640000001,2.7304272700000003,9.83841515
Cameroon,0.6,16,0.3,9,56.2,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,CMR,AFR,Lower-middle,3.82407379,0.48458477999999994,2.86053681
Colombia,176.5,9036,173.6,8887,98.4,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,COL,AMR,Upper-middle,9.017724040000001,6.54606009,19.00617027
Croatia,91.7,360,89.7,352,97.8,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,HRV,EUR,High,8.1,6.81,13.99
Cyprus,107.0,141,107.0,141,100.0,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,CYP,EUR,High,9.43,7.99,18.37
Czechia,153.6,1618,127.8,1346,83.2,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,CZE,EUR,High,9.4887867,8.17704678,17.58224487
Democratic Republic of the Congo,0.6,56,0.4,43,76.8,2021,Bloodstream,Klebsiella pneumoniae,Carbapenems,COD,AFR,Low,3.7859260999999997,0.634673,4.34094429
